中文片名,外文片名
金錢男孩MONEYBOYS,MONEYBOYS
回眸,Review
地球迷航,Among us
鱷魚,Grit
該死的阿修羅,GODDAMNED  ASURA
生而為人,Born To Be Human
17歲的天空 4K數位修復版,Formula 17
二〇二〇年的一場雨,RAIN IN 2020
不想一個人,Leave me alone
售命,Life For Sale
一杯熱奶茶的等待,Waiting For My Cup of Tea
詭祭,Dead & Beautiful
在他的獎牌中迷惘,WHOSE MEDAL
望川,River of Forgetfulness
宜花東鹿記,Yi Hua Tung Lu Ji
高山上的熱氣球,Echo
講話沒有在聽,CAN YOU HEAR ME?
侵密,Intrusion
看海,To the Sea
願未央,Unfulfilled Dreams
尋找神話之鳥,Enigma：The Chinese Crested Tern
彼岸,Crossing's End
兜兜風,RAYDIO
有你相伴的旅程,REMEBER LOVE
我記得,I Remember
再說一次我願意,Say Yes Again
小弄日記：磺溪,I Left Something in Tianmu
愛別離苦,Love Without Clutching Leave Without Guilt
玫瑰色的裙,Rose Skirt
素還真,DEMIGOD: The Legend Begins
諸葛四郎─英雄的英雄,Shiro - Hero of Heroes
妖果小學─水果奶奶的大秘密,Monster Fruit Academy-Granny Fruity s big secret
噩兆,DEIFIED
捕鰻的人,The Catch
初戀慢半拍,MAMA BOY
格瑞特真相,The Greater Good
我在時間盡頭等你,Love You Forever
刺殺小說家,A Writer's Odyssey
除暴,Caught in Time
 只有蕓知道,Only Cloud Knows
合法伴侶,Special Couple
藍宇,LAN YU
郊區的鳥,Suburban Birds
攀登者,The Climbers
第一爐香,LOVE AFTER LOVE
墮落天使 4K數位修復版,Fallen Angels
不日成婚,Ready or Knot
真・三國無雙,Dynasty Warriors
真・三國無雙 國語版,Dynasty Warriors
感動她77次,77 heartbreaks
春光乍洩 4K數位修復版,Happy Together
總是有愛在隔離,All You Need is Love
手捲煙,Hand Rolled Cigarette
殲毒先鋒,OPERATION BANGKOK
女人街，再見了,Ladies Market
怒火,Raging Fire
鬼同你住,Coffin Homes
金錢帝國：追虎擒龍,Once Upon A Time In Hong Kong
梅艷芳,ANITA
濁水漂流,Drifting
殺出個黃昏,Time
G風暴,G Storm
